"Year","CLUE_Areas","Population_CO2_tonnes","Energy_CO2_tonnes","Trees_CO2_absorbed_tonnes","Total_CO2offset_tonnes"
2011,"Carlton",6215.913907632,48.9418236062082,25.1670990398081,6239.6886321984
2012,"Carlton",6409.1681082,54.3752012477989,25.1670990398081,6438.37621040799
2021,"Carlton",7051.514043816,74.0603645296048,25.1670990398081,7100.4073093058
2018,"Carlton",8585.288864064,72.9638262160037,25.1670990398081,8633.0855912402
2015,"Carlton",7802.353264464,66.1588925221985,25.1670990398081,7843.34505794639
2016,"Carlton",8329.437280296,72.3876118691018,25.1670990398081,8376.65779312529
2013,"Carlton",6866.758101456,57.3133426356708,25.1670990398081,6898.90434505186
2014,"Carlton",7328.90474712,60.7858539655316,25.1670990398081,7364.52350204572
2019,"Carlton",8678.036019312,73.0056562622587,25.1670990398081,8725.87457653445
2020,"Carlton",8620.547893848,71.8577533128601,25.1670990398081,8667.23854812105
2017,"Carlton",8502.92569368,71.9825434631228,25.1670990398081,8549.74113810331
2013,"Docklands",3284.206832808,62.8270791298941,13.83146223601,3333.20244970188
2014,"Docklands",3761.995019112,64.2827232767245,13.83146223601,3812.44628015271
2011,"Docklands",2555.122154112,58.5389089252119,13.83146223601,2599.8296008012
2012,"Docklands",2800.677170808,62.0816008264049,13.83146223601,2848.9273093984
2021,"Docklands",6492.712979808,72.2615989630583,13.83146223601,6551.14311653505
2018,"Docklands",6307.507460232,72.009207589548,13.83146223601,6365.68520558554
2015,"Docklands",4276.099053864,67.7640707958517,13.83146223601,4330.03166242384
2016,"Docklands",4838.031548064,72.0507649133609,13.83146223601,4896.25085074135
2017,"Docklands",5690.77337664,71.3365652151598,13.83146223601,5748.27847961915
2019,"Docklands",6689.705852016,71.7648096378227,13.83146223601,6747.63919941781
2020,"Docklands",6814.914667704,70.3683420932987,13.83146223601,6871.45154756129
2013,"East Melbourne",2148.368728968,49.3248628875158,16.2845301512192,2181.4090617043
2012,"East Melbourne",2132.66630808,48.600472361166,16.2845301512192,2164.98225028995
2017,"East Melbourne",2199.608043336,56.4106479220228,16.2845301512192,2239.7341611068
2014,"East Melbourne",2161.4049072,50.599805851749,16.2845301512192,2195.72018290053
2011,"East Melbourne",2124.630115344,45.6835001488191,16.2845301512192,2154.0290853416
2016,"East Melbourne",2199.890590128,56.9766137691489,16.2845301512192,2240.58267374593
2021,"East Melbourne",1985.965203816,57.1377839045862,16.2845301512192,2026.81845756937
2018,"East Melbourne",2163.095504856,56.9414015296028,16.2845301512192,2203.75237623438
2015,"East Melbourne",2174.653385784,53.4683474971044,16.2845301512192,2211.83720312988
2020,"East Melbourne",2149.271005464,55.6417685359235,16.2845301512192,2188.6282438487
2019,"East Melbourne",2161.74052908,56.7470429512188,16.2845301512192,2202.20304188
2012,"Kensington",4166.789349096,19.3646386160121,16.1619466195467,4169.99204109246
2013,"Kensington",4266.047568816,22.1051278772868,16.1619466195467,4271.99075007374
2011,"Kensington",4085.792081712,15.701974773256,16.1619466195467,4085.33210986571
2016,"Kensington",4558.19002452,32.6596622273899,16.1619466195467,4574.68774012784
2017,"Kensington",4557.934015272,32.5905833147469,16.1619466195467,4574.3626519672
2014,"Kensington",4367.42410896,24.9709501275655,16.1619466195467,4376.23311246802
2015,"Kensington",4467.586166208,28.6072254105921,16.1619466195467,4480.03144499904
